product_name,product_name_citation,brand_name,brand_name_citation,original_price,original_price_citation,sale_price,sale_price_citation,main_image_url,main_image_url_citation,product_detail_page_url,product_detail_page_url_citation,short_description,short_description_citation,color,color_citation,size_availability,size_availability_citation,clothing_category,clothing_category_citation
Miro Relaxed Jeans,https://www.shopbop.com/miro-relaxed-jean-citizens-humanity/vp/v=1/1550260512.htm?colorSin=2029520320&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,Citizens of Humanity,https://www.shopbop.com/miro-relaxed-jean-citizens-humanity/vp/v=1/1550260512.htm?colorSin=2029520320&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,248,https://www.shopbop.com/miro-relaxed-jean-citizens-humanity/vp/v=1/1550260512.htm?colorSin=2029520320&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,248,https://www.shopbop.com/miro-relaxed-jean-citizens-humanity/vp/v=1/1550260512.htm?colorSin=2029520320&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/citiz/citiz417981f563/citiz417981f563_1738956179066_2-0._QL90_UX564_.jpg,https://www.shopbop.com/miro-relaxed-jean-citizens-humanity/vp/v=1/1550260512.htm?colorSin=2029520320&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,https://www.shopbop.com/miro-relaxed-jean-citizens-humanity/vp/v=1/1550260512.htm?colorSin=2029520320&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,https://www.shopbop.com/miro-relaxed-jean-citizens-humanity/vp/v=1/1550260512.htm?colorSin=2029520320&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,"Fabric: Mid-weight, non-stretch denim; Darted knees; Button closure and zip fly; 5-pocket styling; Shell: 100% cotton; Wash cold; Imported, Turkey",https://www.shopbop.com/miro-relaxed-jean-citizens-humanity/vp/v=1/1550260512.htm?colorSin=2029520320&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,Almondette,https://www.shopbop.com/miro-relaxed-jean-citizens-humanity/vp/v=1/1550260512.htm?colorSin=2029520320&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,"26,27,28,29,30,31,32,33,34",https://www.shopbop.com/miro-relaxed-jean-citizens-humanity/vp/v=1/1550260512.htm?colorSin=2029520320&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,Jeans,https://www.shopbop.com/miro-relaxed-jean-citizens-humanity/vp/v=1/1550260512.htm?colorSin=2029520320&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1
90s Pinch Waist Jeans,https://www.shopbop.com/90s-pinch-waist-crop-high/vp/v=1/1585857455.htm?colorSin=2030631404&fm=pd_browse_1_bstslr_2&ref_=pd_browse_1_bstslr_2,AGOLDE,https://www.shopbop.com/90s-pinch-waist-crop-high/vp/v=1/1585857455.htm?colorSin=2030631404&fm=pd_browse_1_bstslr_2&ref_=pd_browse_1_bstslr_2,238,https://www.shopbop.com/90s-pinch-waist-crop-high/vp/v=1/1585857455.htm?colorSin=2030631404&fm=pd_browse_1_bstslr_2&ref_=pd_browse_1_bstslr_2,238,https://www.shopbop.com/90s-pinch-waist-crop-high/vp/v=1/1585857455.htm?colorSin=2030631404&fm=pd_browse_1_bstslr_2&ref_=pd_browse_1_bstslr_2,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/agole/agole3117528443/agole3117528443_1754939020009_2-0._QL90_UX564_.jpg,https://www.shopbop.com/90s-pinch-waist-crop-high/vp/v=1/1585857455.htm?colorSin=2030631404&fm=pd_browse_1_bstslr_2&ref_=pd_browse_1_bstslr_2,https://www.shopbop.com/90s-pinch-waist-crop-high/vp/v=1/1585857455.htm?colorSin=2030631404&fm=pd_browse_1_bstslr_2&ref_=pd_browse_1_bstslr_2,https://www.shopbop.com/90s-pinch-waist-crop-high/vp/v=1/1585857455.htm?colorSin=2030631404&fm=pd_browse_1_bstslr_2&ref_=pd_browse_1_bstslr_2,"Mid-weight, low-stretch denim; Fading and whiskering; Covered button placket; 5-pocket styling; Shell: 99% cotton/1% elastane; Wash cold; Imported, Turkey",https://www.shopbop.com/90s-pinch-waist-crop-high/vp/v=1/1585857455.htm?colorSin=2030631404&fm=pd_browse_1_bstslr_2&ref_=pd_browse_1_bstslr_2,Overcast,https://www.shopbop.com/90s-pinch-waist-crop-high/vp/v=1/1585857455.htm?colorSin=2030631404&fm=pd_browse_1_bstslr_2&ref_=pd_browse_1_bstslr_2,"23,24,25,26,27,28,29,30,31,32,33,34",https://www.shopbop.com/90s-pinch-waist-crop-high/vp/v=1/1585857455.htm?colorSin=2030631404&fm=pd_browse_1_bstslr_2&ref_=pd_browse_1_bstslr_2,Jeans,https://www.shopbop.com/90s-pinch-waist-crop-high/vp/v=1/1585857455.htm?colorSin=2030631404&fm=pd_browse_1_bstslr_2&ref_=pd_browse_1_bstslr_2
Peasant Floral Butterfly Top,https://www.shopbop.com/peasant-floral-off-white-butterflies/vp/v=1/1564075097.htm?colorSin=2044858490&fm=pd_browse_1_bstslr_6&ref_=pd_browse_1_bstslr_6,FARM Rio,https://www.shopbop.com/peasant-floral-off-white-butterflies/vp/v=1/1564075097.htm?colorSin=2044858490&fm=pd_browse_1_bstslr_6&ref_=pd_browse_1_bstslr_6,180,https://www.shopbop.com/peasant-floral-off-white-butterflies/vp/v=1/1564075097.htm?colorSin=2044858490&fm=pd_browse_1_bstslr_6&ref_=pd_browse_1_bstslr_6,180,https://www.shopbop.com/peasant-floral-off-white-butterflies/vp/v=1/1564075097.htm?colorSin=2044858490&fm=pd_browse_1_bstslr_6&ref_=pd_browse_1_bstslr_6,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/farmr/farmr3146927d9e/farmr3146927d9e_1771514883900_2-0._QL90_UX564_.jpg,https://www.shopbop.com/peasant-floral-off-white-butterflies/vp/v=1/1564075097.htm?colorSin=2044858490&fm=pd_browse_1_bstslr_6&ref_=pd_browse_1_bstslr_6,https://www.shopbop.com/peasant-floral-off-white-butterflies/vp/v=1/1564075097.htm?colorSin=2044858490&fm=pd_browse_1_bstslr_6&ref_=pd_browse_1_bstslr_6,https://www.shopbop.com/peasant-floral-off-white-butterflies/vp/v=1/1564075097.htm?colorSin=2044858490&fm=pd_browse_1_bstslr_6&ref_=pd_browse_1_bstslr_6,"Mid-weight, non-stretch linen weave; smocked elastic back panels; embroidered butterfly applique; floral print; square neckline; sleeveless; hidden zip at back; shell 100% linen; lined; hand wash or dry clean; imported, China.",https://www.shopbop.com/peasant-floral-off-white-butterflies/vp/v=1/1564075097.htm?colorSin=2044858490&fm=pd_browse_1_bstslr_6&ref_=pd_browse_1_bstslr_6,Peasant Floral Off-White,https://www.shopbop.com/peasant-floral-off-white-butterflies/vp/v=1/1564075097.htm?colorSin=2044858490&fm=pd_browse_1_bstslr_6&ref_=pd_browse_1_bstslr_6,"XS, S, M, L, XL",https://www.shopbop.com/peasant-floral-off-white-butterflies/vp/v=1/1564075097.htm?colorSin=2044858490&fm=pd_browse_1_bstslr_6&ref_=pd_browse_1_bstslr_6,Top,https://www.shopbop.com/peasant-floral-off-white-butterflies/vp/v=1/1564075097.htm?colorSin=2044858490&fm=pd_browse_1_bstslr_6&ref_=pd_browse_1_bstslr_6
Hayley Polo Shirt,https://www.shopbop.com/hayley-polo-shirt-le-bop/vp/v=1/1570848407.htm?colorSin=2012554022&fm=pd_browse_1_bstslr_8&ref_=pd_browse_1_bstslr_8,LE BOP,https://www.shopbop.com/hayley-polo-shirt-le-bop/vp/v=1/1570848407.htm?colorSin=2012554022&fm=pd_browse_1_bstslr_8&ref_=pd_browse_1_bstslr_8,128,https://www.shopbop.com/hayley-polo-shirt-le-bop/vp/v=1/1570848407.htm?colorSin=2012554022&fm=pd_browse_1_bstslr_8&ref_=pd_browse_1_bstslr_8,128,https://www.shopbop.com/hayley-polo-shirt-le-bop/vp/v=1/1570848407.htm?colorSin=2012554022&fm=pd_browse_1_bstslr_8&ref_=pd_browse_1_bstslr_8,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lebop/lebop3007610495/lebop3007610495_1770824532248_2-0._QL90_UX564_.jpg,https://www.shopbop.com/hayley-polo-shirt-le-bop/vp/v=1/1570848407.htm?colorSin=2012554022&fm=pd_browse_1_bstslr_8&ref_=pd_browse_1_bstslr_8,https://www.shopbop.com/hayley-polo-shirt-le-bop/vp/v=1/1570848407.htm?colorSin=2012554022&fm=pd_browse_1_bstslr_8&ref_=pd_browse_1_bstslr_8,https://www.shopbop.com/hayley-polo-shirt-le-bop/vp/v=1/1570848407.htm?colorSin=2012554022&fm=pd_browse_1_bstslr_8&ref_=pd_browse_1_bstslr_8,"Mid-weight jersey fabric with collared neck, short sleeves, partial button placket, patch breast pocket. Shell: 100% cotton. Wash cold. Imported from China. Style #LEBOP30076.",https://www.shopbop.com/hayley-polo-shirt-le-bop/vp/v=1/1570848407.htm?colorSin=2012554022&fm=pd_browse_1_bstslr_8&ref_=pd_browse_1_bstslr_8,Heather Grey,https://www.shopbop.com/hayley-polo-shirt-le-bop/vp/v=1/1570848407.htm?colorSin=2012554022&fm=pd_browse_1_bstslr_8&ref_=pd_browse_1_bstslr_8,"XS, S, M, L, XL, XXL",https://www.shopbop.com/hayley-polo-shirt-le-bop/vp/v=1/1570848407.htm?colorSin=2012554022&fm=pd_browse_1_bstslr_8&ref_=pd_browse_1_bstslr_8,Polo Shirt,https://www.shopbop.com/hayley-polo-shirt-le-bop/vp/v=1/1570848407.htm?colorSin=2012554022&fm=pd_browse_1_bstslr_8&ref_=pd_browse_1_bstslr_8
Cassy Dress,https://www.shopbop.com/cassy-dress-4th-reckless/vp/v=1/1565150125.htm?colorSin=2066052792&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,4th & Reckless,https://www.shopbop.com/cassy-dress-4th-reckless/vp/v=1/1565150125.htm?colorSin=2066052792&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,100,https://www.shopbop.com/cassy-dress-4th-reckless/vp/v=1/1565150125.htm?colorSin=2066052792&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,100,https://www.shopbop.com/cassy-dress-4th-reckless/vp/v=1/1565150125.htm?colorSin=2066052792&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/freck/freck30647102cb/freck30647102cb_1771445717527_2-0._QL90_UX564_.jpg,https://www.shopbop.com/cassy-dress-4th-reckless/vp/v=1/1565150125.htm?colorSin=2066052792&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,https://www.shopbop.com/cassy-dress-4th-reckless/vp/v=1/1565150125.htm?colorSin=2066052792&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,https://www.shopbop.com/cassy-dress-4th-reckless/vp/v=1/1565150125.htm?colorSin=2066052792&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,"Fabric: Mid-weight stretch knit; Geometric pattern; Maxi length; Strapless; Sleeveless; Pullover design, no closure; Shell: 80% viscose/20% polyester; Unlined; Wash cold; Imported, China",https://www.shopbop.com/cassy-dress-4th-reckless/vp/v=1/1565150125.htm?colorSin=2066052792&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,Multi,https://www.shopbop.com/cassy-dress-4th-reckless/vp/v=1/1565150125.htm?colorSin=2066052792&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,"M, L, XL",https://www.shopbop.com/cassy-dress-4th-reckless/vp/v=1/1565150125.htm?colorSin=2066052792&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1,Dresses,https://www.shopbop.com/cassy-dress-4th-reckless/vp/v=1/1565150125.htm?colorSin=2066052792&fm=pd_browse_1_bstslr_1&ref_=pd_browse_1_bstslr_1
